aggregation_timestamp,n_requests,operation,snapshot_id,n_context,n_context_tokens_total,n_generated,n_generated_tokens_total
2023-07-20T04:35:00.000Z,3,completion,gpt-4-0613,3,25,3,200
2023-07-20T04:40:00.000Z,2,completion,gpt-3.5-turbo-0613,2,1754,2,487
2023-07-20T04:40:00.000Z,1,completion,davinci:ft-sj-innovation-2023-07-20-01-12-54,1,14,1,200
2023-07-20T04:45:00.000Z,7,completion,gpt-4-0613,7,71,7,278
2023-07-20T04:50:00.000Z,4,completion,gpt-4-0613,4,42,4,766
2023-07-20T05:05:00.000Z,1,completion,gpt-4-0613,1,10,1,99
2023-07-20T05:10:00.000Z,2,completion,gpt-4-0613,2,39,2,18
2023-07-20T05:15:00.000Z,2,completion,gpt-4-0613,2,18,2,98
2023-07-20T05:20:00.000Z,2,completion,gpt-4-0613,2,18,2,32
2023-07-20T05:20:00.000Z,6,completion,text-davinci:003,6,476,6,1184
2023-07-20T05:25:00.000Z,2,completion,text-davinci:003,2,261,2,247
2023-07-20T05:25:00.000Z,1,completion,gpt-4-0613,1,8,1,9
2023-07-20T05:25:00.000Z,4,completion,gpt-3.5-turbo-0613,4,1286,4,769
2023-07-20T05:50:00.000Z,1,completion,gpt-4-0613,1,10,1,72
2023-07-20T05:55:00.000Z,2,completion,gpt-4-0613,2,22,2,335
2023-07-20T06:25:00.000Z,1,completion,text-davinci:003,1,28,1,5
2023-07-20T06:30:00.000Z,2,completion,gpt-4-0613,2,20,2,31
2023-07-20T06:45:00.000Z,2,completion,gpt-4-0613,2,790,2,389
2023-07-20T06:50:00.000Z,2,completion,gpt-4-0613,2,110,2,126
2023-07-20T06:55:00.000Z,2,completion,gpt-4-0613,2,106,2,135
2023-07-20T08:20:00.000Z,3,completion,gpt-4-0613,3,28,3,124
2023-07-20T08:35:00.000Z,1,completion,gpt-4-0613,1,8,1,9
2023-07-20T08:40:00.000Z,3,completion,gpt-4-0613,3,30,3,260
2023-07-20T08:45:00.000Z,3,completion,gpt-4-0613,3,74,3,230
2023-07-20T08:50:00.000Z,2,completion,gpt-4-0613,2,20,2,133
2023-07-20T09:00:00.000Z,1,completion,gpt-4-0613,1,10,1,16
2023-07-20T09:15:00.000Z,2,completion,gpt-4-0613,2,20,2,384
2023-07-20T09:20:00.000Z,2,completion,gpt-4-0613,2,19,2,107
2023-07-20T09:25:00.000Z,2,completion,gpt-4-0613,2,20,2,155
2023-07-20T09:35:00.000Z,2,completion,gpt-4-0613,2,20,2,195
2023-07-20T09:40:00.000Z,2,completion,gpt-4-0613,2,21,2,81
2023-07-20T09:45:00.000Z,2,completion,gpt-4-0613,2,24,2,183
2023-07-20T09:50:00.000Z,4,completion,gpt-4-0613,4,945,4,175
2023-07-20T09:55:00.000Z,6,completion,gpt-4-0613,6,2072,6,264
2023-07-20T10:00:00.000Z,5,completion,gpt-4-0613,5,702,5,157
2023-07-20T10:05:00.000Z,1,completion,gpt-4-0613,1,10,1,20
2023-07-20T10:35:00.000Z,3,completion,gpt-4-0613,3,28,3,35
2023-07-20T10:40:00.000Z,2,completion,gpt-4-0613,2,18,2,33
2023-07-20T10:50:00.000Z,2,completion,text-davinci:003,2,16,2,32
2023-07-20T10:55:00.000Z,2,completion,text-davinci:003,2,47,2,122
2023-07-20T11:00:00.000Z,1,completion,text-davinci:003,1,27,1,67
2023-07-20T11:05:00.000Z,5,completion,gpt-4-0613,5,154,5,82
2023-07-20T11:40:00.000Z,1,completion,gpt-4-0613,1,8,1,25
2023-07-20T12:25:00.000Z,3,completion,text-davinci:003,3,96,3,234
2023-07-20T12:30:00.000Z,1,completion,text-davinci:003,1,32,1,82
2023-07-20T12:35:00.000Z,3,completion,text-davinci:003,3,89,3,218
2023-07-20T12:40:00.000Z,3,completion,text-davinci:003,3,78,3,175
2023-07-20T12:45:00.000Z,1,completion,text-davinci:003,1,23,1,59
2023-07-20T12:50:00.000Z,1,completion,text-davinci:003,1,23,1,60
2023-07-20T13:10:00.000Z,3,completion,text-davinci:003,3,107,3,195
2023-07-20T13:15:00.000Z,3,completion,text-davinci:003,3,48,3,39
2023-07-20T14:35:00.000Z,2,completion,text-davinci:003,2,524,2,361
2023-07-20T14:40:00.000Z,2,completion,text-davinci:003,2,358,2,197
2023-07-20T14:50:00.000Z,4,completion,gpt-3.5-turbo-0613,4,3824,4,1125
2023-07-20T14:55:00.000Z,4,completion,gpt-3.5-turbo-0613,4,3649,4,1268
2023-07-20T15:50:00.000Z,3,completion,gpt-4-0613,3,1118,3,164
2023-07-20T19:50:00.000Z,3,completion,gpt-4-0613,3,291,3,287
2023-07-20T19:55:00.000Z,1,completion,gpt-4-0613,1,361,1,18
2023-07-20T20:10:00.000Z,2,completion,gpt-3.5-turbo-0613,2,1172,2,69
2023-07-20T20:20:00.000Z,4,completion,davinci:ft-sj-innovation-2023-07-20-01-12-54,4,61,4,656
